,emotion,content,updated_content
5021,happiness,@rowsell will be following you tomorrow!!  sleep well,follow tomorrow sleep
5035,happiness,"@TerriCook Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !",good even ferri miss late hope life good wonder even
5037,happiness,@jeffpulver Done some book signings in Manchester. Nice people up there. Enjoy the week.,book sign manchest nice peopl enjoy week
5041,happiness,"@uhandbag I will  I enjoyed doing the peg bags, I've adapted the design for a tote bag  Bit cuter than I normally do",enjoy peg bag give adapt design tone bag bit outer normal
5047,happiness,It's Raining!,rain
5051,happiness,@JessMcFlyxxx that would be an idea  haha xx,idea hata xx
5059,happiness,tomorrow He'll gone to new home...I was Born single(our little puppy of basset hound),tomorrow hell gone new home born single(our littl puppi basket hound)
5063,happiness,happpppy mothers day,happpppi mother day
5066,happiness,12 more days until CA!! i get to see my paniniii,day paniniii
5067,happiness,"Latest: Saw Animal Collective in Oakland and they were AMAZING! Now, I am trying to clean my room",latest: saw anim collect oakland amaz tri clean room
5069,happiness,@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!,hi funni recent subscrib channel coutur great stuff kind want hi
5072,happiness,"@joaocalistro mine was good, wet but good",good wet good
5080,happiness,May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,th happi star war day http://only/a
5089,happiness,baseball games whoo hooo  when to banquet yesterday at the hyhtt sooo fun,basebal game who hood banquet yesterday hyhtt soon fun
5104,happiness,"@aligomm wow! How cool is that! or was I guess, I have 18 now  haha get another follower!",now cool guess hata follow
5108,happiness,"@Scorch_Mom Emailed you - it'll be on the porch anytime. If you come tomorrow, we'll have to miss you! Don't worry about knocking!",remain till porch daytim come tomorrow miss dont worri knock
5113,happiness,@eltonmcmanus  &amp; to you matey,amp mate
5126,happiness,"@MissEileen hahaha  Really, I'm just trying to figure out the last time he was on FB by looking at all of his friends pages",havana in tri figur time ff look friend page
5142,happiness,Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!,lone gosforth galleri excit meal follow anthoni johnson tonight woohoo
5144,happiness,"@alicedric can't wait for it. i love your scripts. honestly, you should have a future career as a script writer  - Stock Twits",can wait love script honestli futur career script writer stock twist
5157,happiness,"@leighannirvine Thanks hun! I'm wearing my new goldmine e/s and big false lashes, but it doesn't show!",thank run in wear new goldmin e/ big fals lash doesn
5162,happiness,@okneil welcome home wherever that may be,welcom home
5167,happiness,"@ssnape Yes, though perhaps I wasn't thinking. I like vague. It seems a popper term for you.",ye want think like vagu copper term
5185,happiness,@bella456  im going to my inlaws tonight.  hopefully my new niece will be there!  who needs kids when my inlaws have them all for me!,in go law tonight hope new niec need kiss law
5199,happiness,@maydbs Its looking like June - nice right?,look like june nice right
5209,happiness,"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O",surpris parti today parti tomorrow funfunfun need finish bug project oo
5213,happiness,my dad and i totally just rocked out to the offspring-pretty fly for a white guy. haha.,dad total rock offspringpretti fli white guy hata
5221,happiness,Finally going home! Its been a long night.. Ready to crash and have awesome dreams,final go home long night readi crash awesom dream
5223,happiness,@KarlaaM_ A blouse! ahahaha I gave her money and she went to get it!  Where's your mom??,lous ahahah gave money went where mon
5236,happiness,can't stop smiling  i'm in the best mood right now!!!!!,can stop smile in best mood right
5238,happiness,@Rachel_Pengov: Extremely so! I'm in an incredible mood,extrem in incred mood
5239,happiness,@miraaaaa hahaha. you should eat then!,havana eat
5249,happiness,"Loving the sun today, even thought I should be revising. Not a good day though, been at Kates all afty, shit day for her bless her  x",love sun today thought revis good day rate aft shit day bless x
5250,happiness,"waiting for amy so me, her and @reecerentboy can go see the hannah montanna movie!!!",wait ami hannah montana movi
5254,happiness,@KimmiMcFly i think it starts at  7.30 with that david archuleta  i might just throw glitter all over myself aha xx,think start david archuleta throw glitter ah xx
5262,happiness,"Hope I'm not coming down with piggy flu, eyes red. Neck no longer holds up heavy head. Time for sleep.  Sogni D'oro all!",hope in come pigmi fli eye red neck longer hold heavi head time sleep soon door
5291,happiness,giving myself a manicure + pedicure  ahhh how i've missed you nice pretty nails...,give manur + pedicl ah give miss nice pretti nail
5292,happiness,is at school. its her last day. of high school. ever. ever. ever.,school day high school
5307,happiness,"@_anh Hmm, tasty!  Going to have curry rice with peas probably. ;)",him tast go carri rice pea probabl )
5318,happiness,is stoked for spring! Amazing wild foods! Nature is abundant~bless up!!!,stoke spring amaz wild food natur abundant~bless
5331,happiness,Watching aliens with my boobie at craig rise house 11 early bedtime for the grown ups,watch alien brodi craig rise hous earli bedtim grown up
5342,happiness,watching beauty &amp; the beast  haha,watch beauti amp beast hata
5343,happiness,but omg mummy bought me ice-cream!,org mummi bought icecream
5347,happiness,Ive chosen Grease,give chosen greas
5354,happiness,out enjoying the weather before i have to go to work.. last shift with @jamieallover,enjoy weather work shift
5370,happiness,@katabolickatie not on my tv !    im watching a that 70's show marathon !,to in watch s marathon
5373,happiness,@katherine_kelly PJ days are the best days,pp day best day
5374,happiness,Choir banquet was more than I could've ever dreamed.   I'm so happy! Now after party at Lauren's!!!,choir banquet could dream in happi parti laurel
5389,happiness,"@DanielleAdalis the ending is te funniest, you'll see. ;) @JonasBrothers you know paranoif is always stuck in my head?? Love it.",end te funniest you ) know paranoif stuck head love
5410,happiness,@FatDaddySweets YAY! Busy is good,may busi good
5424,happiness,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,fli ontario hourswil probabl stay awak dayscamp time may sleepi
5428,happiness,"@RealBillBailey it really made my night. infact, it made my weekend! well done.",night intact weekend
5438,happiness,@aphrodaisy Thanks!   I'm making homemade lasagna for my mum today.,thank in make homemad lasagna sum today
5440,happiness,"@Krystania thanks.mine wasn't too bad. Made a card for my mom, had a nice nap, finished some work, wrote bills, I have a surprise for you",thanksmin want bad card mon nice nap finish work wrote bill surpris
5445,happiness,Great album..lucky to have this on vinyl.  ? http://blip.fm/~5jhtv,great albumlucki final http://blipfm/~jet
5449,happiness,http://twitpic.com/4ws3m - I love family guy  2 hours of work to go..,http://twitpiccom/wm love famili guy hour work
5454,happiness,"3500 downloads for quickpwn 3.0b5 with cydia, Thanks for playing",download quickpwn b lydia thank play
5472,happiness,Finished new moon! Woo! Now i want the next one...,finish new moon who want
5475,happiness,@mattgarner haha what's up Matt ?,hata what matt
5478,happiness,PERFECT SHOW TO YOU! enjoy for me,perfect enjoy
5492,happiness,"At the avenue, raining  so cool",avenu rain cool
5501,happiness,haiszt.. im here in the office doing nothing but tweet haha! fun!,waist in offic sweet hata fun
5507,happiness,@clyp1976 thanks!! I definitely will! The next season will be rainy and it comes in two month's time!!,thank definit season raini come month time
5517,happiness,@epicwinmaster Thats great,that great
5518,happiness,@Andph112 hope you enjoyed your holiday,hope enjoy holiday
5523,happiness,"Coool. - Weekend wasnï¿½t that great, eeeh. Whattttever.  Friday was better than I expected it to be, so I... http://tumblr.com/x9i1qwu42",cool weekend great been whattttev friday better expect http://tumblrcom/xiqwu
5529,happiness,Just recollecting my jog this a.m. - almost perfect except unkown type hanging out by my vehicle.  Too much mental noise- only 6 mile jog,recollect joy perfect unknown type hang vehicl mental nois mile joy
5539,happiness,"Watching videos on Facebook makes me feel like the biggest creep. Which I guess I am. Also, tweet #200! Woohoo!",watch video facebook make feel like biggest creep guess sweet # woohoo
5543,happiness,wooh! 100th tweet  i have no life xD,wood th sweet life d
5551,happiness,"time for The Great Yakuza Horror Theatre, wish me luck",time great yauza horror theatr wish luck
5557,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,chill roomier can wait combin clown or donna week
5560,happiness,@pauliniunia its the best show EVER!,best
5564,happiness,@Elliot79 I don't think I can bear such cuteness this early in the day! Kudos to Fair Empress,dont think bear acut earli day bud fair empress
5566,happiness,@Chambers_ Hahaaaha,hahaaaha
5572,happiness,I'm still at the mothers day lunch at my uncles house. Having a nice time!,in mother day lunch uncl hous nice time
5575,happiness,@deversum good morning Hazel  caffeine-shot?,good morn hazel caffeineshot
5579,happiness,Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight,home disneybest time long timehowl moon tonight ba bob tuesday oh drummer boy night
5581,happiness,Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she's getting it we can be backing dancers by next tour,listen pink manag tri teach cat danc think she get back dancer tour
5598,happiness,@HaoranC Go for it!!,
5604,happiness,"Oh noesss seniors last day  However, tickling will till he was on the floor giggling made it totally worth it. Plus, a senior sandwhich!",oh nose senior day tickl till floor tingl total worth plu senior sandwich
5606,happiness,@DJClicheDarknes I haven't had a good homemade flour tortilla in ages.,haven good homemad flour gorilla age
5612,happiness,@vbnavarro Love that song! Happy Monday,love song happi monday
5619,happiness,@lauriepercival it was a great wedding! the band was awesome (they played a ton of great 80's songs) as was the food!,great wed band awesom (they play ton great s songs) food
5633,happiness,is online shopping...fantastic,onlin shoppingfantast
5653,happiness,"@mahamimo Thank you! Your makeup art is top-notch, come to my house every morning! ha ha",thank make art topnotch come hous morn ha ha
5656,happiness,this goes out to the one n only smirker   cheers dave!  aka jak  aka the best chest ever! ? http://blip.fm/~5jjcc,goe n marker cheer dave ak jaw ak best chest http://blipfm/~jack
5657,happiness,Playing with my puppy,play puppi
5659,happiness,It's sunny and I feel really well today!  Yippeee!,sunni feel today yippee
5665,happiness,@andyclemmensen have you seen the game on the website?! awesomness!!! go on msn!,seen game webster awesom man
5673,happiness,"@jtimberlake Went to your resteraunt in NYC, it was aaaaaaaaaamazing",went restraint ny aaaaaaaaaamaz
5677,happiness,@CloverandBee YEA!! Way to go! Super excited for a great Midwest resource!!! Midwest pride!,yea way super excit great midst resourc midst pride
5679,happiness,@_writersblock_ Yep! One drink &amp; @retrorewind block party is keeping me up,yep drink amp block parti keep
5688,happiness,@DianaRay1 I KNOW I'm so excited for them!,know in excit
5695,happiness,Meeting up with Karen and the boys for some drinks at The Dock!!!  All I wanna do is drink though..    fuck it like Andrea said! Haha,meet aren boy drink dock anna drink fuck like andrew said hata
5696,happiness,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!,have better day today finish twilight book yesterday class start week all
5697,happiness,Just spent the evening at a gala for her high school drama company's 20th anniversary. Lots of memories,spent even gale high school drama compani th anniversari lot memori
5698,happiness,"Hi Charlie, thank you for following me! Nice to know there's another Ollmann in the new world...",hi charli thank follow nice know there volkmann new world
5719,happiness,i'm awake while others sleep,in awak sleep
5737,happiness,Getting ready for my first &quot;real&quot; day of work in five months...words of encouragement are welcome,get readi quotrealquot day work monthsword encourag welcom
5748,happiness,"Family guy reruns, food, and, good phone conversations  ah, saturdays.",famili guy return food good phone convers ah saturday
5785,happiness,"Had a great weekend with One, hanging with Nick &amp; Brendon, church this morning! Can't believe Loretta won the Mothers Day raffle again!",great weekend hang nick amp brandon church morn can believ biretta mother day ruffl
5788,happiness,@donnyosmond Very excited as we have just booked tickets to Vegas (we live in the UK) can't believe the  price of the show tickets,excit book ticket began (we live up) can believ price ticket
5821,happiness,@tommcfly AHHHHHHH!!!!! its my 16th birthday  And i cant belive i found out im seeing yous tonight  Best present everr!!! &lt;333333333,ahhhhhhh th birthday can believ found in see you tonight best present everi it
5826,happiness,"we finally hit 1,000 friends! thanks!",final hit friend thank
5838,happiness,@JessMcFlyxxx gdgd well i better go and get ready for work :| haha have fun tonight  x x,did better readi work :| hata fun tonight x x
5844,happiness,i found a ride...YES!!! liquor here i come,found rider liquor come
5847,happiness,@ColeDavid had  a little family party tonight   hope it rocked,littl famili parti tonight hope rock
5848,happiness,"@saltyshutter cool beans, yeah man - no prob at all",cool bean yeah man probe
5870,happiness,@mileycyrus  they closed the voting...all u can vote for now is best movie  Hope you win it! My 4 y/o Daughter lovesss 2 sing &quot;The Climb&quot;,close votingal u vote best movi hope win y/o daughter love sing quot climbquot
5871,happiness,Went outside and picked flowers with Marina! i love picking flowers haha,went outsid pick flower marina love pick flower hata
5885,happiness,just got home. today was fun,got home today fun
5903,happiness,Good Morning people!!! Have a great day,good morn peopl great day
5921,happiness,"@Appledoe Mmmm, I had honey mustard chicken w/ rice &amp; veges",mmm honey mustard chicken w/ rice amp eye
5938,happiness,wow. someone's proud of me.,now someon proud
5939,happiness,@jnacool I dont understand sensex..but wow!,dont understand sensexbut now
5953,happiness,I love how when I leave my laptop on my bed it creates a nice toasty spot,love leav lawton bed creat nice toast spot
5960,happiness,@tobinharris brilliant! Best tool of the year,brilliant best tool year
5977,happiness,i miss k_ris punking me everytime we hung out and effnng me up,miss ori run everytim hung effnng
5979,happiness,@chrisfullman I would never do such a thing!  The only thing more awesomerer is the 15 minute walk to work,thing thing awesomer minut walk work
5987,happiness,I'm so proud of my NAU graduate friend!!! We're getting ready to celebrate  tonight!!! It'll be an international ordeal~,in proud au graduat friend get readi celebr tonight till intern ordeal~
5990,happiness,@SarahJacinta Thanks!,thank
5995,happiness,Welcome @doeko ! Really glad to know you here. Your products rox man,welcom glad know product box man
6003,happiness,@kiitzyy I think so hahah geez lady 3 hours ago?? Go to bed!! Lack of sleep is bad for your skin!,think ahahah gee ladi hour ago bed lack sleep bad skin
6005,happiness,"Morning all. First tea of the day, and just about to record the voiceover for a documentary about modern Druidry. Good times",morn tea day record voiceov documentari modern druidri good time
6016,happiness,@purrsikat yeah thought it was awesome - glad to see some characters like Gambit brought back into the fold,yeah thought awesom glad charact like habit brought fold
6027,happiness,"Yay, I should be able to make it to 700 updates tonight  lame compared to other ppls i know lol",may abl updat tonight lame compar pal know ll
6032,happiness,Made a bomb and it blew in my mouth!..just made the best F*ing dinner!,bomb blew mouthjust best f*ing dinner
6033,happiness,@TheMadModel Soooo happy your back!,soon happi
6047,happiness,I had an amazing night with my friends!!!  now I am losing my voice!,amaz night friend lose voic
6048,happiness,Digging the ideas behind railsbridge (http://railsbridge.org/),dig idea railsbridg (http://railsbridgeorg/)
6057,happiness,totally just got hit on by one of her bar guests! Ha ha...Yay me!,total got hit bar guest ha away
6066,happiness,@taylorswift13 Hey Tay!! Plz can u write hey elin to me? Im sick and if u do it I feel better!,hey may pli u write hey ein in sick u feel better
6072,happiness,Hello everyone im just sitting here rocking out to 9412 sam on the air The best classic rock station on twitter here,hello in sit rock sam air best classic rock station twitter
6073,happiness,says Happy Mother's Day to all Moms out there  http://plurk.com/p/stkr2,say happi mother day moss http://plurkcom/p/stir
6092,happiness,"@Nextread I agree, keep it in Star Trek but make it commercially viable! C'mon!",agre star tree commerci viabl mon
6096,happiness,Pretty happy with how things have changed over the past 2 months...definitely for the best,pretti happi thing chang past monthsdefinit best
6103,happiness,"Finally X-Men Origins: Wolverine arrived, Time to play the game like a mad man, And then it's time for the review  /Patrick",final men origins: wolverin arriv time play game like mad man time review /patrick
6116,happiness,@dduane *waves back* Have a good day,*wave back* good day
6120,happiness,@angelakeen the next wk I C Drs too but maybe then? I would love it! I did go to Mac Grill.  John was not there! Thought of U!,we c dri mayb love mac drill john thought u
6126,happiness,#SanctuarySunday fav character @pegasusangel has to be Ashley!  Why? cause she's awesome,#sanctuarysunday far charact ash caus she awesom
6141,happiness,@redonculous video tape that for me  hahaha,video tape havana
6142,happiness,@Serenity265 Thanks hun! Next time we'll all go again,thank run time
6150,happiness,@saramcdonald23 soooo jelous of you right now,soon jealou right
6165,happiness,@Pimplepopper: Where did you get a copy? I wanna watch that also.,copi anna watch
6167,happiness,@typezero3 thanks! Slooooow hehe but I'm stoked  hope you're having a good weekend!,thank slooooow here in stoke hope your good weekend
6169,happiness,Oh also today we must remember that it is Hoppusday. So happy Hoppusday  Yes I said it yesterday but it changed okay?,oh today rememb hoppusday happi hoppusday ye said yesterday chang okay
6174,happiness,"@robinmeyers Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me",look like lincoln marathon yesterday awesom hm tough
6179,happiness,"@HoptonHouseBnB Sorry, not meaning to complain, feeling rough and heat getting to me again tonight  Would love to be visiting India though",sorri mean complain feel rough heat get tonight love visit india
6181,happiness,@megspptc I don't remember cause I was watching so many on youtube... LOL will get back to you,dont rememb caus watch coutur ll
6184,happiness,@remzology it was amazing but due to time constraints could only visit the meadows and pine forest. Shall post images later.,amaz time constraint visit meadow pine forest shall post imag later
6186,happiness,Reds win! Great end to a great day,red win great end great day
6201,happiness,@Alitaluna Hey workaholic! =P lol...jus wanted to say hiiii....i always tell ash to invite u over but she says ur always working lol,hey workahol =p longu want hiiiii tell ash invit u say or work ll
6203,happiness,Just finished down loading AIM6.9 and guess what! I can get updates from Twitter on it!  Message me at: i am katie arttt,finish load aim guess updat twitter messag at: kati art
6206,happiness,http://twitpic.com/4wh0o - My mommys gummy mothers day posterrr!,http://twitpiccom/who mummi gumma mother day posterior
6213,happiness,@4everBrandy looks like your having fun,look like fun
6218,happiness,"Nothing like 10P to kick-off the Bank Holiday, dig the haircut Luke! Next stop...Selfridges",like p kickoff bank holiday dig haircut luke stopselfridg
6230,happiness,"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!",later normal morn got attack swarm mind fli open veranda night took hour rid
6231,happiness,"is sipping OJ in the sun in San Pedro at La Soberana again, with sunny smiley Nita...  The garlic tomato paste is delicious! Yummy!!!",sip of sun san per la soberana sunni smile nina garlic tomato past delici mummi
6235,happiness,All moved in to our new apartment. So exciting,move new apart excit
6243,happiness,@HelloLizzi oh hahah thats ok then,oh ahahah that ok
6244,happiness,@raenewman you called me? didn't get that.  nest time for sure. maybe i'll come to LA soon. i hella wana go to Disneyland.,call didn nest time sure mayb ill come la soon hell want disneyland
6245,happiness,"@gi_ri_ja good morning, It's nice to see you!",good morn nice
6255,happiness,"despite rain, having a fantastic day",despit rain fantast day
6266,happiness,"cant contain myself, tooooooo excited",can contain tooooooo excit
6272,happiness,@grahamguy more coffee,coffe
6277,happiness,"@SpoiledMommy thanks  it was one of those goofy in the bathroom self taken dorky shot, ha ha. Hope you have a wonderful mommies day!",thank good bathroom self taken work shot ha ha hope wonder commit day
6283,happiness,@SJSharksfan haha i agree ! i am her test dummy. i just go in and say &quot;do whatever you want&quot; and i always love it.  she is magic!,hata agre test dummi quota wantquot love magic
6284,happiness,@Iamme828 No becuz we're being honest! Lets look at the big picture..my happy ending with the smile on my face,begun honest let look big pictur happi end smile face
6302,happiness,"What a day, 12 hours work  But I'd really like my job, it's fabulous :b",day hour work id like job fabul :b
6303,happiness,@casndra okayy mail me thenn  Lol im hyperrr too much candy &amp;&amp; Jello x],okay mail then ll in hyper candi ampamp jelli x]
6312,happiness,"Heading off to Hollywood Studios today  Manta and Kraken were both awesome yesterday, feeling like doing a few more rides!!",head hollywood studi today santa taken awesom yesterday feel like ride
6325,happiness,@LeslieLang It will be an Adventure!  Have FUN with your 5 yr old and 8 mo old! (You're brave.)    Hope you have a great time!,adventur fun or old mo old (your brave) hope great time
6340,happiness,Playing pacman on itouch!  lol,play palmar touch ll
6358,happiness,@montiAsutton I wish I could really do that  I love having u around! Ill see what I can do.. ;) try to use that national champ pull lol,wish love u ill ) tri use nation champ pull ll
6365,happiness,big shout out to all my home girls you know who you are,big shout home girl know
6379,happiness,happy star wars day,happi star war day
6385,happiness,@baggers haha yeah it was,hata yeah
6387,happiness,All dressed now everything,dress
6389,happiness,"Nighty night, ya'll!    Tweet Dreams!",night night all sweet dream
6391,happiness,"@tenuousness: aoh is one of the best bands. they played my frosh, i was stoked. i have to work tonight, or else i'd totally be there!",oh best band play fresh stoke work tonight id total
6394,happiness,Reception food at Long Beach graduation = no Champagne  http://twitpic.com/67eba,recept food long beach granul = champagn http://twitpiccom/era
6397,happiness,getting ready to leave school on wednesday,get readi leav school wednesday
6415,happiness,"@nick_carter Gotta make the video public, dear. LOL ...can't see it.",gutta video public dear ll can
6428,happiness,@lifeincyan Aren't randoms what it's about?!!!  I LOVE that it's Star Wars day - I didn't realise and I can't believe it's almost over!,agent random love star war day didn realis can believ
6431,happiness,@LeonceN I have it.  Hehehehe u want the torrent?,heheheh u want torrent
6434,happiness,Managed to find a bottle of Pimm's! If only we had the weather to go with it,manag find bottl time weather
6442,happiness,http://tinyurl.com/c8nlzh - forgot how much I like this song,http://tinyurlcom/cnlzh forgot like song
6444,happiness,"@oscarrplz thanks oscc  i have been changing it up lately, and I like this layout the most &lt;33",thank onc chang late like layout it
6473,happiness,@Oreosandcheese That's a great idea,that great idea
6474,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*,ff bore anna sing right **
6475,happiness,Saturday is Partytiiime,saturday partytiiim
6476,happiness,@annadwan90 excellent good to see,excel good
6480,happiness,Today is check in day for week 12 of the Artist's Way! Hurray time to celebrate another good completed journey.,today check day week artist way hurrah time celebr good complet journey
6484,happiness,"Rest earlier is good for your health. So, I say good nite to you all!",rest earlier good health good note
6487,happiness,@valerie2776 Quite a few. Peacocks and Oceanographer's Choice are my new favorites to play,peacock oceanograph choic new favorit play
6493,happiness,"Ha, sure  hey, text me normal. 512 718 4879",ha sure hey text normal
6506,happiness,@wp101 Cheers! will do,cheer
6507,happiness,"stealth shopping - got wife b-day present while at mall together and she didn't notice - buy, hide it in car, back before she missed me",stealth shop got wife day present mall didn notic buy hide car miss
6516,happiness,@blp2008 lol yep  tell rhonda i said happy mother's day!,ll yep tell rhode said happi mother day
6521,happiness,Almost ready to leave the house to head to WTHR!,readi leav hous head the
6522,happiness,is about to eat a hot link torta!!,eat hot link aorta
6546,happiness,I'm an incredibly happy person with 100% energy. Love to dance &amp; laugh...the only thing that I know.I'm one of the most down to earth ppl,in incred happi person % energi love danc amp laughter thing know earth pp
6550,happiness,"@MISS_OTTAWA ur welcome, sweet dreams!",or welcom sweet dream
6557,happiness,"@NightShade10 Wooops! Meant I agree with Boomstone..trying 2 reply 2 both, LOL. Happy Mothers Day to you as well!  TTY soon!",troop meant agre boomstonetri repli ll happi mother day tri soon
6562,happiness,@KhairulHulk @SyamMasri supporting superfly all the way,support superfli way
6568,happiness,"@mishxmonster  haha, as if I'm only 19 girl  They don't give me beer lol xD",hata in girl dont beer ll d
6580,happiness,Morniiing twitter  eating cereales and watching BLG dvd like every sunday morning ^^ï¿½,morn twitter eat cereal watch big did like sunday morn
6585,happiness,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.,http://snipurlcom/hen print mon amazon gift card happi mother day talk minut
6596,happiness,@shanedawson haha yay We love you too Mr. Shane Dawson,hata may love mr share dawson
6597,happiness,Beer pong  at 6am  with jess,beer long am le
6611,happiness,"@Misstaken77 always good to polish off a few in the comfort of your own home  Nothing mischevious went down, just a fab night gossiping...",good polish comfort home mischiev went far night gossip
6619,happiness,@theonlysv haha nuu .. soLo qoincideencia .. en seriooO,hata nut solo qoincideencia en seriou
6620,happiness,morning! just got my coffee,morn got coffe
6623,happiness,Was quite amusing watching Pangaea sing &quot;F*** Killah Priest!&quot; I guess he won't be featuring on their album,amus watch panama sing quote*** kill priestquot guess wont fear album
6637,happiness,nice weather..looks like its going to rain here in # Delhi.,nice weatherlook like go rain # delhi
6639,happiness,@ITTO88 dear ITTO what could possibly be THAT bad? Xo,dear into possibl bad to
6641,happiness,Had an awesome pedicure today!!,awesom pedicl today
6643,happiness,@Jennifalconer I was happy to see on Something For the Weekend that Flight of the Conchords is back on BBC4!,happi weekend flight concord bc
6658,happiness,@rodney91 http://twitpic.com/4i3g6 - i love that game  xxxx,http://twitpiccom/in love game xxxi
6666,happiness,Good day today tomorrow will be even better,good day today tomorrow better
6669,happiness,@RealBillBailey Cool show last night had me in fits,cool night fit
6704,happiness,i would take the ???s out the sky for you,sky
6728,happiness,@richa_august84 haha...  may be.. hehe.. I might have been imported.  but i love the heat... love playing football on a hot day....,hata here import love heat love play footbal hot day
6729,happiness,@ShannonGrissom @grannypig #followfriday thank you!  I'm still not even close to what I had as @GottaLaff,#followfriday thank in close
6731,happiness,WALES HERE I AM! 1st 2 weeks away in wales. but idk if the guys at school really like me...,wale st week away wale ink gun school like
6741,happiness,"HAPPY MOTHER'S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...",happi mother day mon mon stroll reach laterhop
6771,happiness,@kimberlynicole Yay!!! I'm so happy you got to meet her!,may in happi got meet
6776,happiness,At walmart playing hide and seek.,palmar play hide seek
6781,happiness,"@Crimsonmuse i just saw this! im freakin' starving right now! i'm thinking peanut butter fudge ice cream...&amp; now steak, of course!",saw in break starv right in think peanut butter judg ice creamamp speak cours
6807,happiness,"@aruky Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day &quot;colorblind&quot;.",ye na song great got old funni na cheerlead remain song ohrwurm day quotcolorblindquot
6832,happiness,"excited about CWPM tomorrow.. only one member is going but still , its a good start",excit camp tomorrow member go good start
6841,happiness,"@jefebarrio it was put on by our neighborhood, so just a little one. Like 25 runners. I got 1st place, with an okay time. I was happy.",neighborhood littl like runner got st place okay time happi
6842,happiness,@BlacksilkBlog Hugs to you for not being able to shag Crush anymore  x,huge abl shag crush anymor x
6847,happiness,Is getting more and more excited about thorpe park tomorrow,get excit there park tomorrow
6854,happiness,"So I got up, went outside planted a few flowers and watched a lee evans DVD. Who knew bank holidays were so fun",got went outsid plant flower watch lee evan did knew bank holiday fun
6881,happiness,@Blondie_HK very funny,funni
6882,happiness,watching miss cytheria,watch miss cytheria
6888,happiness,@ckanal funny you should say...am filling it out as we speak ;) cheers!,funni say fill speak ) cheer
6891,happiness,so bryan was at the sweet 15 and i didnt think we were gonna talk but towards the end of the night we talked,bryan sweet didn think donna talk end night talk
6901,happiness,"@Orli @Snapily you are now famous in Houston, take a look  http://is.gd/ysAh",famou houston look http://is/yeah
6916,happiness,going to watch boy in the striped pj's hope i don't cry,go watch boy stripe pu hope dont cri
6918,happiness,@ItsNeet Teehee..I know it too!,teeheei know
6932,happiness,I  have always been a sucker for the sound of an acoustic guitar!,suck sound caustic guitar
6939,happiness,@owenong looks good ... making me hungry but boy stll asleep,look good make hungri boy still asleep
6946,happiness,"@utterhip Well, just catching my little piece of it - but I'm all for sharing",catch littl piec in share
6950,happiness,Just got to school. Goin to Cinncinatti Wednesday!,got school go cinncinatti wednesday
6952,happiness,@aussieboby i like it    #masterchef,like #masterchef
6956,happiness,"@sashagrey since I'm reading the Twilight series and watching Underworld today, I gotta say...perfect pic for my day",in read twilight seri watch underwood today gutta sayperfect pick day
6957,happiness,"@punnie I don't use it, but I heard that PowerShell is nice",dont use heard powershel nice
6960,happiness,@KevinRButters i was in chiangmai for a month last year during loy krathong. best festival ever.,chiangmai month year lay krathong best festiv
6966,happiness,"One for the Mum's - HAPPY MOTHERS DAY! &amp; a special mention 4 one of our newest members: @Holly_Jane, Hope @DHughesy was good 4 u &amp; 2 u",sum happi mother day amp special mention newest members: hope good u amp u
6973,happiness,I just want to watch my Naruto Shippuuden missed episodes.,want watch auto shippuuden miss episod
6986,happiness,@DonnieWahlberg  &quot;donnie rocks&quot; if u could only here it my 2year old runs around every where sayin &quot;donnie rocks&quot;,quotdonni rocksquot u year old run say quotdonni rocksquot
6987,happiness,This weekend has been probably the best and there is still another day to go!!,weekend probabl best day
7008,happiness,"been playing UFC Unleashed 2009 demo, its a impressive game, got the Apprentice on now, Lazy Monday",play of unleash domo impress game got apprentic lazi monday
7012,happiness,Finally on my way home,final way home
7015,happiness,"@Mingo123 SUFFICATION NO BREATHING. It's okay. There'll be more. You're invited to mine, but I can't promise fun times.  *Jinx",suffoc breath okay there your invit can promis fun time *in
7016,happiness,"BBQ's gone well ! Weather stayed good which is a right bonus. Just off to bed, training in the morning at 06:30 then work",bee gone weather stay good right bonu bed train morn : work
